,PassengerId,Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,Title,PassengerType
0,1,0,3,1,1,0,7.25,1,1,4
1,2,1,1,0,1,0,71.2833,2,1,4
2,3,1,3,0,0,0,7.925,1,1,4
3,4,1,1,0,1,0,53.1,1,1,4
4,5,0,3,1,0,0,8.05,1,1,4
5,6,0,3,1,0,0,8.4583,3,1,4
6,7,0,1,1,0,0,51.8625,1,1,4
7,8,0,3,1,3,1,21.075,1,2,2
8,9,1,3,0,0,2,11.1333,1,1,4
9,10,1,2,0,1,0,30.0708,2,1,3
10,11,1,3,0,1,1,16.7,1,1,2
11,12,1,1,0,0,0,26.55,1,1,4
12,13,0,3,1,0,0,8.05,1,1,4
13,14,0,3,1,1,5,31.275,1,1,4
14,15,0,3,0,0,0,7.8542,1,1,3
15,16,1,2,0,0,0,16.0,1,1,4
16,17,0,3,1,4,1,29.125,3,2,2
17,18,1,2,1,0,0,13.0,1,1,4
18,19,0,3,0,1,0,18.0,1,1,4
19,20,1,3,0,0,0,7.225,2,1,4
20,21,0,2,1,0,0,26.0,1,1,4
21,22,1,2,1,0,0,13.0,1,1,4
22,23,1,3,0,0,0,8.0292,3,1,3
23,24,1,1,1,0,0,35.5,1,1,4
24,25,0,3,0,3,1,21.075,1,1,2
25,26,1,3,0,1,5,31.3875,1,1,4
26,27,0,3,1,0,0,7.225,2,1,4
27,28,0,1,1,3,2,263.0,1,1,4
28,29,1,3,0,0,0,7.8792,3,1,2
29,30,0,3,1,0,0,7.8958,1,1,4
30,31,0,1,1,0,0,27.7208,2,4,4
31,32,1,1,0,1,0,146.5208,2,1,4
32,33,1,3,0,0,0,7.75,3,1,2
33,34,0,2,1,0,0,10.5,1,1,5
34,35,0,1,1,1,0,82.1708,2,1,4
35,36,0,1,1,1,0,52.0,1,1,4
36,37,1,3,1,0,0,7.2292,2,1,4
37,38,0,3,1,0,0,8.05,1,1,4
38,39,0,3,0,2,0,18.0,1,1,4
39,40,1,3,0,1,0,11.2417,2,1,3
40,41,0,3,0,1,0,9.475,1,1,4
41,42,0,2,0,1,0,21.0,1,1,4
42,43,0,3,1,0,0,7.8958,2,1,4
43,44,1,2,0,1,2,41.5792,2,1,2
44,45,1,3,0,0,0,7.8792,3,1,4
45,46,0,3,1,0,0,8.05,1,1,4
46,47,0,3,1,1,0,15.5,3,1,4
47,48,1,3,0,0,0,7.75,3,1,2
48,49,0,3,1,2,0,21.6792,2,1,4
49,50,0,3,0,1,0,17.8,1,1,4
50,51,0,3,1,4,1,39.6875,1,2,2
51,52,0,3,1,0,0,7.8,1,1,4
52,53,1,1,0,1,0,76.7292,2,1,4
53,54,1,2,0,1,0,26.0,1,1,4
54,55,0,1,1,0,1,61.9792,2,1,5
55,56,1,1,1,0,0,35.5,1,1,4
56,57,1,2,0,0,0,10.5,1,1,4
57,58,0,3,1,0,0,7.2292,2,1,4
58,59,1,2,0,1,2,27.75,1,1,2
59,60,0,3,1,5,2,46.9,1,2,2
60,61,0,3,1,0,0,7.2292,2,1,4
62,63,0,1,1,1,0,83.475,1,1,4
63,64,0,3,1,3,2,27.9,1,2,2
64,65,0,1,1,0,0,27.7208,2,1,4
65,66,1,3,1,1,1,15.2458,2,2,2
66,67,1,2,0,0,0,10.5,1,1,4
67,68,0,3,1,0,0,8.1583,1,1,4
68,69,1,3,0,4,2,7.925,1,1,3
69,70,0,3,1,2,0,8.6625,1,1,4
70,71,0,2,1,0,0,10.5,1,1,4
71,72,0,3,0,5,2,46.9,1,1,3
72,73,0,2,1,0,0,73.5,1,1,4
73,74,0,3,1,1,0,14.4542,2,1,4
74,75,1,3,1,0,0,56.4958,1,1,4
75,76,0,3,1,0,0,7.65,1,1,4
76,77,0,3,1,0,0,7.8958,1,1,4
77,78,0,3,1,0,0,8.05,1,1,4
78,79,1,2,1,0,2,29.0,1,2,1
79,80,1,3,0,0,0,12.475,1,1,4
80,81,0,3,1,0,0,9.0,1,1,4
81,82,1,3,1,0,0,9.5,1,1,4
82,83,1,3,0,0,0,7.7875,3,1,2
83,84,0,1,1,0,0,47.1,1,1,4
84,85,1,2,0,0,0,10.5,1,1,3
85,86,1,3,0,3,0,15.85,1,1,4
86,87,0,3,1,1,3,34.375,1,1,3
87,88,0,3,1,0,0,8.05,1,1,4
88,89,1,1,0,3,2,263.0,1,1,4
89,90,0,3,1,0,0,8.05,1,1,4
90,91,0,3,1,0,0,8.05,1,1,4
91,92,0,3,1,0,0,7.8542,1,1,4
92,93,0,1,1,1,0,61.175,1,1,4
93,94,0,3,1,1,2,20.575,1,1,4
94,95,0,3,1,0,0,7.25,1,1,4
95,96,0,3,1,0,0,8.05,1,1,4
96,97,0,1,1,0,0,34.6542,2,1,5
97,98,1,1,1,0,1,63.3583,2,1,4
98,99,1,2,0,0,1,23.0,1,1,4
99,100,0,2,1,1,0,26.0,1,1,4
100,101,0,3,0,0,0,7.8958,1,1,4
101,102,0,3,1,0,0,7.8958,1,1,4
102,103,0,1,1,0,1,77.2875,1,1,4
103,104,0,3,1,0,0,8.6542,1,1,4
104,105,0,3,1,2,0,7.925,1,1,4
105,106,0,3,1,0,0,7.8958,1,1,4
106,107,1,3,0,0,0,7.65,1,1,4
107,108,1,3,1,0,0,7.775,1,1,4
108,109,0,3,1,0,0,7.8958,1,1,4
109,110,1,3,0,1,0,24.15,3,1,2
110,111,0,1,1,0,0,52.0,1,1,4
111,112,0,3,0,1,0,14.4542,2,1,3
112,113,0,3,1,0,0,8.05,1,1,4
113,114,0,3,0,1,0,9.825,1,1,4
114,115,0,3,0,0,0,14.4583,2,1,3
115,116,0,3,1,0,0,7.925,1,1,4
116,117,0,3,1,0,0,7.75,3,1,5
117,118,0,2,1,1,0,21.0,1,1,4
118,119,0,1,1,0,1,247.5208,2,1,4
119,120,0,3,0,4,2,31.275,1,1,2
120,121,0,2,1,2,0,73.5,1,1,4
121,122,0,3,1,0,0,8.05,1,1,4
122,123,0,2,1,1,0,30.0708,2,1,4
123,124,1,2,0,0,0,13.0,1,1,4
124,125,0,1,1,0,1,77.2875,1,1,4
125,126,1,3,1,1,0,11.2417,2,2,3
126,127,0,3,1,0,0,7.75,3,1,4
127,128,1,3,1,0,0,7.1417,1,1,4
128,129,1,3,0,1,1,22.3583,2,1,2
129,130,0,3,1,0,0,6.975,1,1,4
130,131,0,3,1,0,0,7.8958,2,1,4
131,132,0,3,1,0,0,7.05,1,1,4
132,133,0,3,0,1,0,14.5,1,1,4
133,134,1,2,0,1,0,26.0,1,1,4
134,135,0,2,1,0,0,13.0,1,1,4
135,136,0,2,1,0,0,15.0458,2,1,4
136,137,1,1,0,0,2,26.2833,1,1,4
137,138,0,1,1,1,0,53.1,1,1,4
138,139,0,3,1,0,0,9.2167,1,1,3
139,140,0,1,1,0,0,79.2,2,1,4
140,141,0,3,0,0,2,15.2458,2,1,4
141,142,1,3,0,0,0,7.75,1,1,4
142,143,1,3,0,1,0,15.85,1,1,4
143,144,0,3,1,0,0,6.75,3,1,4
144,145,0,2,1,0,0,11.5,1,1,4
145,146,0,2,1,1,1,36.75,1,1,4
146,147,1,3,1,0,0,7.7958,1,1,4
147,148,0,3,0,2,2,34.375,1,1,2
148,149,0,2,1,0,2,26.0,1,1,4
149,150,0,2,1,0,0,13.0,1,3,4
150,151,0,2,1,0,0,12.525,1,3,4
151,152,1,1,0,1,0,66.6,1,1,4
152,153,0,3,1,0,0,8.05,1,1,4
153,154,0,3,1,0,2,14.5,1,1,4
154,155,0,3,1,0,0,7.3125,1,1,4
155,156,0,1,1,0,1,61.3792,2,1,4
156,157,1,3,0,0,0,7.7333,3,1,3
157,158,0,3,1,0,0,8.05,1,1,4
158,159,0,3,1,0,0,8.6625,1,1,4
159,160,0,3,1,8,2,69.55,1,2,2
160,161,0,3,1,0,1,16.1,1,1,4
161,162,1,2,0,0,0,15.75,1,1,4
162,163,0,3,1,0,0,7.775,1,1,4
163,164,0,3,1,0,0,8.6625,1,1,3
164,165,0,3,1,4,1,39.6875,1,2,1
165,166,1,3,1,0,2,20.525,1,2,2
166,167,1,1,0,0,1,55.0,1,1,4
167,168,0,3,0,1,4,27.9,1,1,4
168,169,0,1,1,0,0,25.925,1,1,4
169,170,0,3,1,0,0,56.4958,1,1,4
170,171,0,1,1,0,0,33.5,1,1,4
171,172,0,3,1,4,1,29.125,3,2,2
172,173,1,3,0,1,1,11.1333,1,1,1
173,174,0,3,1,0,0,7.925,1,1,4
174,175,0,1,1,0,0,30.6958,2,1,4
175,176,0,3,1,1,1,7.8542,1,1,4
176,177,0,3,1,3,1,25.4667,1,2,2
177,178,0,1,0,0,0,28.7125,2,1,4
178,179,0,2,1,0,0,13.0,1,1,4
179,180,0,3,1,0,0,0.0,1,1,4
180,181,0,3,0,8,2,69.55,1,1,2
181,182,0,2,1,0,0,15.05,2,1,4
182,183,0,3,1,4,2,31.3875,1,2,2
183,184,1,2,1,2,1,39.0,1,2,1
184,185,1,3,0,0,2,22.025,1,1,2
185,186,0,1,1,0,0,50.0,1,1,4
186,187,1,3,0,1,0,15.5,3,1,4
187,188,1,1,1,0,0,26.55,1,1,4
188,189,0,3,1,1,1,15.5,3,1,4
189,190,0,3,1,0,0,7.8958,1,1,4
190,191,1,2,0,0,0,13.0,1,1,4
191,192,0,2,1,0,0,13.0,1,1,4
192,193,1,3,0,1,0,7.8542,1,1,4
193,194,1,2,1,1,1,26.0,1,2,2
194,195,1,1,0,0,0,27.7208,2,1,4
195,196,1,1,0,0,0,146.5208,2,1,4
196,197,0,3,1,0,0,7.75,3,1,4
197,198,0,3,1,0,1,8.4042,1,1,4
198,199,1,3,0,0,0,7.75,3,1,2
199,200,0,2,0,0,0,13.0,1,1,4
200,201,0,3,1,0,0,9.5,1,1,4
201,202,0,3,1,8,2,69.55,1,1,4
202,203,0,3,1,0,0,6.4958,1,1,4
203,204,0,3,1,0,0,7.225,2,1,4
204,205,1,3,1,0,0,8.05,1,1,4
205,206,0,3,0,0,1,10.4625,1,1,2
206,207,0,3,1,1,0,15.85,1,1,4
207,208,1,3,1,0,0,18.7875,2,1,4
208,209,1,3,0,0,0,7.75,3,1,3
209,210,1,1,1,0,0,31.0,2,1,4
210,211,0,3,1,0,0,7.05,1,1,4
211,212,1,2,0,0,0,21.0,1,1,4
212,213,0,3,1,0,0,7.25,1,1,4
213,214,0,2,1,0,0,13.0,1,1,4
214,215,0,3,1,1,0,7.75,3,1,4
215,216,1,1,0,1,0,113.275,2,1,4
216,217,1,3,0,0,0,7.925,1,1,4
217,218,0,2,1,1,0,27.0,1,1,4
218,219,1,1,0,0,0,76.2917,2,1,4
219,220,0,2,1,0,0,10.5,1,1,4
220,221,1,3,1,0,0,8.05,1,1,3
221,222,0,2,1,0,0,13.0,1,1,4
222,223,0,3,1,0,0,8.05,1,1,4
223,224,0,3,1,0,0,7.8958,1,1,4
224,225,1,1,1,1,0,90.0,1,1,4
225,226,0,3,1,0,0,9.35,1,1,4
226,227,1,2,1,0,0,10.5,1,1,4
227,228,0,3,1,0,0,7.25,1,1,4
228,229,0,2,1,0,0,13.0,1,1,4
229,230,0,3,0,3,1,25.4667,1,1,2
230,231,1,1,0,1,0,83.475,1,1,4
231,232,0,3,1,0,0,7.775,1,1,4
232,233,0,2,1,0,0,13.5,1,1,4
233,234,1,3,0,4,2,31.3875,1,1,2
234,235,0,2,1,0,0,10.5,1,1,4
235,236,0,3,0,0,0,7.55,1,1,2
236,237,0,2,1,1,0,26.0,1,1,4
237,238,1,2,0,0,2,26.25,1,1,2
238,239,0,2,1,0,0,10.5,1,1,4
239,240,0,2,1,0,0,12.275,1,1,4
240,241,0,3,0,1,0,14.4542,2,1,2
241,242,1,3,0,1,0,15.5,3,1,2
242,243,0,2,1,0,0,10.5,1,1,4
243,244,0,3,1,0,0,7.125,1,1,4
244,245,0,3,1,0,0,7.225,2,1,4
245,246,0,1,1,2,0,90.0,3,4,4
246,247,0,3,0,0,0,7.775,1,1,4
247,248,1,2,0,0,2,14.5,1,1,4
248,249,1,1,1,1,1,52.5542,1,1,4
249,250,0,2,1,1,0,26.0,1,3,4
250,251,0,3,1,0,0,7.25,1,1,4
251,252,0,3,0,1,1,10.4625,1,1,4
252,253,0,1,1,0,0,26.55,1,1,4
253,254,0,3,1,1,0,16.1,1,1,4
254,255,0,3,0,0,2,20.2125,1,1,4
255,256,1,3,0,0,2,15.2458,2,1,4
256,257,1,1,0,0,0,79.2,2,1,4
257,258,1,1,0,0,0,86.5,1,1,4
258,259,1,1,0,0,0,512.3292,2,1,4
259,260,1,2,0,0,1,26.0,1,1,4
260,261,0,3,1,0,0,7.75,3,1,4
261,262,1,3,1,4,2,31.3875,1,2,2
262,263,0,1,1,1,1,79.65,1,1,4
263,264,0,1,1,0,0,0.0,1,1,4
264,265,0,3,0,0,0,7.75,3,1,2
265,266,0,2,1,0,0,10.5,1,1,4
266,267,0,3,1,4,1,39.6875,1,1,3
267,268,1,3,1,1,0,7.775,1,1,4
268,269,1,1,0,0,1,153.4625,1,1,4
269,270,1,1,0,0,0,135.6333,1,1,4
270,271,0,1,1,0,0,31.0,1,1,4
271,272,1,3,1,0,0,0.0,1,1,4
272,273,1,2,0,0,1,19.5,1,1,4
273,274,0,1,1,0,1,29.7,2,1,4
274,275,1,3,0,0,0,7.75,3,1,2
275,276,1,1,0,1,0,77.9583,1,1,4
276,277,0,3,0,0,0,7.75,1,1,4
277,278,0,2,1,0,0,0.0,1,1,4
278,279,0,3,1,4,1,29.125,3,2,2
279,280,1,3,0,1,1,20.25,1,1,4
280,281,0,3,1,0,0,7.75,3,1,5
281,282,0,3,1,0,0,7.8542,1,1,4
282,283,0,3,1,0,0,9.5,1,1,3
283,284,1,3,1,0,0,8.05,1,1,4
284,285,0,1,1,0,0,26.0,1,1,4
285,286,0,3,1,0,0,8.6625,2,1,4
286,287,1,3,1,0,0,9.5,1,1,4
287,288,0,3,1,0,0,7.8958,1,1,4
288,289,1,2,1,0,0,13.0,1,1,4
289,290,1,3,0,0,0,7.75,3,1,4
290,291,1,1,0,0,0,78.85,1,1,4
291,292,1,1,0,1,0,91.0792,2,1,4
292,293,0,2,1,0,0,12.875,2,1,4
293,294,0,3,0,0,0,8.85,1,1,4
294,295,0,3,1,0,0,7.8958,1,1,4
295,296,0,1,1,0,0,27.7208,2,1,4
296,297,0,3,1,0,0,7.2292,2,1,4
297,298,0,1,0,1,2,151.55,1,1,2
298,299,1,1,1,0,0,30.5,1,1,4
299,300,1,1,0,0,1,247.5208,2,1,4
300,301,1,3,0,0,0,7.75,3,1,2
301,302,1,3,1,2,0,23.25,3,1,4
302,303,0,3,1,0,0,0.0,1,1,4
303,304,1,2,0,0,0,12.35,3,1,2
304,305,0,3,1,0,0,8.05,1,1,4
305,306,1,1,1,1,2,151.55,1,2,1
306,307,1,1,0,0,0,110.8833,2,1,2
307,308,1,1,0,1,0,108.9,2,1,3
308,309,0,2,1,1,0,24.0,2,1,4
309,310,1,1,0,0,0,56.9292,2,1,4
310,311,1,1,0,0,0,83.1583,2,1,4
311,312,1,1,0,2,2,262.375,2,1,4
312,313,0,2,0,1,1,26.0,1,1,4
313,314,0,3,1,0,0,7.8958,1,1,4
314,315,0,2,1,1,1,26.25,1,1,4
315,316,1,3,0,0,0,7.8542,1,1,4
316,317,1,2,0,1,0,26.0,1,1,4
317,318,0,2,1,0,0,14.0,1,4,4
318,319,1,1,0,0,2,164.8667,1,1,4
319,320,1,1,0,1,1,134.5,2,1,4
320,321,0,3,1,0,0,7.25,1,1,4
321,322,0,3,1,0,0,7.8958,1,1,4
322,323,1,2,0,0,0,12.35,3,1,4
323,324,1,2,0,1,1,29.0,1,1,4
324,325,0,3,1,8,2,69.55,1,1,4
325,326,1,1,0,0,0,135.6333,2,1,4
326,327,0,3,1,0,0,6.2375,1,1,4
327,328,1,2,0,0,0,13.0,1,1,4
328,329,1,3,0,1,1,20.525,1,1,4
329,330,1,1,0,0,1,57.9792,2,1,3
330,331,1,3,0,2,0,23.25,3,1,2
331,332,0,1,1,0,0,28.5,1,1,4
332,333,0,1,1,0,1,153.4625,1,1,4
333,334,0,3,1,2,0,18.0,1,1,3
334,335,1,1,0,1,0,133.65,1,1,4
335,336,0,3,1,0,0,7.8958,1,1,4
336,337,0,1,1,1,0,66.6,1,1,4
337,338,1,1,0,0,0,134.5,2,1,4
338,339,1,3,1,0,0,8.05,1,1,4
339,340,0,1,1,0,0,35.5,1,1,4
340,341,1,2,1,1,1,26.0,1,2,2
341,342,1,1,0,3,2,263.0,1,1,4
342,343,0,2,1,0,0,13.0,1,1,4
343,344,0,2,1,0,0,13.0,1,1,4
344,345,0,2,1,0,0,13.0,1,1,4
345,346,1,2,0,0,0,13.0,1,1,4
346,347,1,2,0,0,0,13.0,1,1,4
347,348,1,3,0,1,0,16.1,1,1,4
348,349,1,3,1,1,1,15.9,1,2,2
349,350,0,3,1,0,0,8.6625,1,1,4
350,351,0,3,1,0,0,9.225,1,1,4
351,352,0,1,1,0,0,35.0,1,1,4
352,353,0,3,1,1,1,7.2292,2,1,3
353,354,0,3,1,1,0,17.8,1,1,4
354,355,0,3,1,0,0,7.225,2,1,4
355,356,0,3,1,0,0,9.5,1,1,4
356,357,1,1,0,0,1,55.0,1,1,4
357,358,0,2,0,0,0,13.0,1,1,4
358,359,1,3,0,0,0,7.8792,3,1,2
359,360,1,3,0,0,0,7.8792,3,1,2
360,361,0,3,1,1,4,27.9,1,1,4
361,362,0,2,1,1,0,27.7208,2,1,4
362,363,0,3,0,0,1,14.4542,2,1,4
363,364,0,3,1,0,0,7.05,1,1,4
364,365,0,3,1,1,0,15.5,3,1,4
365,366,0,3,1,0,0,7.25,1,1,4
366,367,1,1,0,1,0,75.25,2,1,4
367,368,1,3,0,0,0,7.2292,2,1,4
368,369,1,3,0,0,0,7.75,3,1,2
369,370,1,1,0,0,0,69.3,2,1,4
370,371,1,1,1,1,0,55.4417,2,1,4
371,372,0,3,1,1,0,6.4958,1,1,4
372,373,0,3,1,0,0,8.05,1,1,4
373,374,0,1,1,0,0,135.6333,2,1,4
374,375,0,3,0,3,1,21.075,1,1,2
375,376,1,1,0,1,0,82.1708,2,1,4
376,377,1,3,0,0,0,7.25,1,1,4
377,378,0,1,1,0,2,211.5,2,1,4
378,379,0,3,1,0,0,4.0125,2,1,4
379,380,0,3,1,0,0,7.775,1,1,4
380,381,1,1,0,0,0,227.525,2,1,4
381,382,1,3,0,0,2,15.7417,2,1,1
382,383,0,3,1,0,0,7.925,1,1,4
383,384,1,1,0,1,0,52.0,1,1,4
384,385,0,3,1,0,0,7.8958,1,1,4
385,386,0,2,1,0,0,73.5,1,1,4
386,387,0,3,1,5,2,46.9,1,2,1
387,388,1,2,0,0,0,13.0,1,1,4
388,389,0,3,1,0,0,7.7292,3,1,4
389,390,1,2,0,0,0,12.0,2,1,3
390,391,1,1,1,1,2,120.0,1,1,4
391,392,1,3,1,0,0,7.7958,1,1,4
392,393,0,3,1,2,0,7.925,1,1,4
393,394,1,1,0,1,0,113.275,2,1,4
394,395,1,3,0,0,2,16.7,1,1,4
395,396,0,3,1,0,0,7.7958,1,1,4
396,397,0,3,0,0,0,7.8542,1,1,4
397,398,0,2,1,0,0,26.0,1,1,4
398,399,0,2,1,0,0,10.5,1,4,4
399,400,1,2,0,0,0,12.65,1,1,4
400,401,1,3,1,0,0,7.925,1,1,4
401,402,0,3,1,0,0,8.05,1,1,4
402,403,0,3,0,1,0,9.825,1,1,4
403,404,0,3,1,1,0,15.85,1,1,4
404,405,0,3,0,0,0,8.6625,1,1,4
405,406,0,2,1,1,0,21.0,1,1,4
406,407,0,3,1,0,0,7.75,1,1,4
407,408,1,2,1,1,1,18.75,1,2,2
408,409,0,3,1,0,0,7.775,1,1,4
409,410,0,3,0,3,1,25.4667,1,1,2
410,411,0,3,1,0,0,7.8958,1,1,4
411,412,0,3,1,0,0,6.8583,3,1,4
412,413,1,1,0,1,0,90.0,3,1,4
413,414,0,2,1,0,0,0.0,1,1,4
414,415,1,3,1,0,0,7.925,1,1,4
415,416,0,3,0,0,0,8.05,1,1,4
416,417,1,2,0,1,1,32.5,1,1,4
417,418,1,2,0,0,2,13.0,1,1,4
418,419,0,2,1,0,0,13.0,1,1,4
419,420,0,3,0,0,2,24.15,1,1,2
420,421,0,3,1,0,0,7.8958,2,1,4
421,422,0,3,1,0,0,7.7333,3,1,4
422,423,0,3,1,0,0,7.875,1,1,4
423,424,0,3,0,1,1,14.4,1,1,4
424,425,0,3,1,1,1,20.2125,1,1,4
425,426,0,3,1,0,0,7.25,1,1,4
426,427,1,2,0,1,0,26.0,1,1,4
427,428,1,2,0,0,0,26.0,1,1,4
428,429,0,3,1,0,0,7.75,3,1,4
429,430,1,3,1,0,0,8.05,1,1,4
430,431,1,1,1,0,0,26.55,1,1,4
431,432,1,3,0,1,0,16.1,1,1,4
432,433,1,2,0,1,0,26.0,1,1,4
433,434,0,3,1,0,0,7.125,1,1,3
434,435,0,1,1,1,0,55.9,1,1,4
435,436,1,1,0,1,2,120.0,1,1,3
436,437,0,3,0,2,2,34.375,1,1,4
437,438,1,2,0,2,3,18.75,1,1,4
438,439,0,1,1,1,4,263.0,1,1,4
439,440,0,2,1,0,0,10.5,1,1,4
440,441,1,2,0,1,1,26.25,1,1,4
441,442,0,3,1,0,0,9.5,1,1,4
442,443,0,3,1,1,0,7.775,1,1,4
443,444,1,2,0,0,0,13.0,1,1,4
444,445,1,3,1,0,0,8.1125,1,1,4
445,446,1,1,1,0,2,81.8583,1,2,2
446,447,1,2,0,0,1,19.5,1,1,3
